id,created_date,destination,error_message,event_id,event_id_type,event_type,event_version,exception_category,exception_sub_category,exception_type,host,is_active,messaging_platform_type,raising_system,source_system,status,times_replayed,updated_date,updated_by,comment,trace,payload,exception_id,remarks
1,2025-09-05T11:11:17.781918,trade-ingestion-topic,Transaction deadlock - conflicting locks,EVT-0001,UUID,MODIFY,2,INFRASTRUCTURE,DEADLOCK,org.postgresql.util.PSQLException,trade-service-1.prod.internal,False,KAFKA,trade-validation-service,MUREX,CLOSED,7,2025-09-06T14:11:17.781918,system-auto,Awaiting upstream fix,"org.postgresql.util.PSQLException: Transaction deadlock - conflicting locks
	at com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:197)
	at com.trading.repository.TradeRepository.findById(TradeRepository.java:45)
	at com.trading.service.TradeService.getTrade(TradeService.java:89)
	at com.trading.controller.TradeController.getTradeById(TradeController.java:34)",{},0909a9a1-c27d-45aa-bbd2-4e32f9f61cd7,Reordered database lock acquisition to always lock tables in same order (trades then positions).
2,2025-08-20T19:11:17.781918,trade-ingestion-topic,Index 6 out of bounds for length 3,EVT-0002,UUID,CANCEL,2,VALIDATION,INVALID_DATA,java.lang.ArrayIndexOutOfBoundsException,trade-service-3.prod.internal,True,KAFKA,trade-ingestion-service,MUREX,OPEN,3,2025-08-21T16:11:17.781918,system-auto,Escalated to L2,"java.lang.ArrayIndexOutOfBoundsException: Index 6 out of bounds for length 3
	at com.trading.parser.TradeFieldParser.parseFields(TradeFieldParser.java:78)
	at com.trading.service.TradeIngestionService.ingest(TradeIngestionService.java:45)
	at com.trading.kafka.MessageDeserializer.deserialize(MessageDeserializer.java:67)",{},95cbf4f9-dd0b-4123-b231-934b9d2927df,
3,2025-10-08T08:11:17.781918,trade-validation-topic,Task rejected from ThreadPoolExecutor,EVT-0003,UUID,NEW,1,INFRASTRUCTURE,RESOURCE_EXHAUSTION,java.util.concurrent.RejectedExecutionException,trade-service-1.prod.internal,False,KAFKA,trade-ingestion-service,MUREX,CLOSED,7,2025-10-09T15:11:17.781918,dev-team,Escalated to L2,"java.util.concurrent.RejectedExecutionException: Task rejected from ThreadPoolExecutor
	at com.trading.kafka.ProducerService.publishTrade(ProducerService.java:45)
	at com.trading.service.TradePublisher.publish(TradePublisher.java:23)
	at com.trading.async.AsyncProcessor.process(AsyncProcessor.java:67)",{},3eccc71c-efff-4ae0-9bdf-5775e7c46972,Implemented backpressure mechanism to slow down message consumption.
4,2025-10-09T08:11:17.781918,trade-ingestion-topic,Index 10 out of bounds for length 1,EVT-0004,UUID,CANCEL,1,VALIDATION,INVALID_DATA,java.lang.ArrayIndexOutOfBoundsException,trade-service-3.prod.internal,False,KAFKA,trade-ingestion-service,MUREX,CLOSED,7,2025-10-09T17:11:17.781918,ops-team,Awaiting upstream fix,"java.lang.ArrayIndexOutOfBoundsException: Index 10 out of bounds for length 1
	at com.trading.parser.TradeFieldParser.parseFields(TradeFieldParser.java:78)
	at com.trading.service.TradeIngestionService.ingest(TradeIngestionService.java:45)
	at com.trading.kafka.MessageDeserializer.deserialize(MessageDeserializer.java:67)",{},31f90ccd-f5ab-407a-886b-d5d1d730ef96,Added array length validation before access. Reject messages with insufficient fields.
5,2025-10-26T13:11:17.781918,trade-validation-topic,Kafka broker not available - timeout after 10000ms,EVT-0005,UUID,NEW,1,INFRASTRUCTURE,NETWORK,org.apache.kafka.common.errors.TimeoutException,trade-service-3.prod.internal,False,KAFKA,trade-ingestion-service,BLOOMBERG,CLOSED,9,2025-10-27T16:11:17.781918,system-auto,Awaiting upstream fix,"org.apache.kafka.common.errors.TimeoutException: Kafka broker not available - timeout after 10000ms
	at com.trading.kafka.ProducerService.publishTrade(ProducerService.java:45)
	at com.trading.service.TradePublisher.publish(TradePublisher.java:23)
	at com.trading.async.AsyncProcessor.process(AsyncProcessor.java:67)
... 8 more",{},f69b2705-2b1a-4e1d-a003-033af32b2b1c,Kafka cluster was down. Restarted brokers and added monitoring alerts.
6,2025-10-12T21:11:17.781918,trade-processing-topic,Query execution exceeded timeout of 30000ms,EVT-0006,UUID,CANCEL,3,INFRASTRUCTURE,TIMEOUT,java.sql.SQLTimeoutException,trade-service-2.prod.internal,False,KAFKA,trade-consumer-service,ATLAS,CLOSED,9,2025-10-12T23:11:17.781918,dev-team,,"java.sql.SQLTimeoutException: Query execution exceeded timeout of 30000ms
	at com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:197)
	at com.trading.repository.TradeRepository.findById(TradeRepository.java:45)
	at com.trading.service.TradeService.getTrade(TradeService.java:89)
	at com.trading.controller.TradeController.getTradeById(TradeController.java:34)",{},a6e637fe-5874-4c58-a079-d913f7def6be,Added connection pooling and increased timeout to 60000ms.
7,2025-08-23T22:11:17.781918,trade-processing-topic,Class cast exception: Object cannot be converted to TradeEntity,EVT-0007,UUID,NEW,1,VALIDATION,TYPE_MISMATCH,java.lang.ClassCastException,trade-service-5.prod.internal,True,KAFKA,trade-consumer-service,ATLAS,OPEN,14,2025-08-24T15:11:17.781918,ops-team,Investigating,"java.lang.ClassCastException: Class cast exception: Object cannot be converted to TradeEntity
	at com.trading.transformer.TradeTransformer.transform(TradeTransformer.java:89)
	at com.trading.service.TradeService.transformTrade(TradeService.java:123)
	at com.trading.processor.TradeProcessor.process(TradeProcessor.java:45)",{},ea9e9857-3d62-4aa6-90a4-87b0113a6a9b,
8,2025-10-08T19:11:17.781918,trade-validation-topic,Database deadlock while acquiring lock on table positions,EVT-0008,UUID,CANCEL,3,INFRASTRUCTURE,DEADLOCK,org.postgresql.util.PSQLException,trade-service-3.prod.internal,False,KAFKA,trade-consumer-service,ATLAS,CLOSED,3,2025-10-09T22:11:17.781918,system-auto,,"org.postgresql.util.PSQLException: Database deadlock while acquiring lock on table positions
	at com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:197)
	at com.trading.repository.TradeRepository.findById(TradeRepository.java:45)
	at com.trading.service.TradeService.getTrade(TradeService.java:89)
	at com.trading.controller.TradeController.getTradeById(TradeController.java:34)
... 20 more",{},49e46e79-6b80-4e6f-9335-97f7607061f2,Added deadlock retry logic with exponential backoff.
9,2025-10-15T11:11:17.781918,trade-ingestion-topic,Thread pool exhausted - cannot accept new tasks,EVT-0009,UUID,MODIFY,1,INFRASTRUCTURE,RESOURCE_EXHAUSTION,java.util.concurrent.RejectedExecutionException,trade-service-4.prod.internal,False,KAFKA,trade-consumer-service,ATLAS,CLOSED,3,2025-10-17T01:11:17.781918,system-auto,,"java.util.concurrent.RejectedExecutionException: Thread pool exhausted - cannot accept new tasks
	at com.trading.kafka.ProducerService.publishTrade(ProducerService.java:45)
	at com.trading.service.TradePublisher.publish(TradePublisher.java:23)
	at com.trading.async.AsyncProcessor.process(AsyncProcessor.java:67)",{},05cef491-04f2-4cd3-8255-cfa234648502,Optimized async processing. Reduced thread pool utilization by 40%.
10,2025-10-19T01:11:17.781918,trade-validation-topic,Cannot deserialize JSON - unexpected token,EVT-0010,UUID,CANCEL,3,VALIDATION,INVALID_FORMAT,com.fasterxml.jackson.core.JsonParseException,trade-service-4.prod.internal,False,KAFKA,trade-ingestion-service,BLOOMBERG,CLOSED,3,2025-10-20T14:11:17.781918,dev-team,,"com.fasterxml.jackson.core.JsonParseException: Cannot deserialize JSON - unexpected token
	at com.trading.parser.TradeFieldParser.parseFields(TradeFieldParser.java:78)
	at com.trading.service.TradeIngestionService.ingest(TradeIngestionService.java:45)
	at com.trading.kafka.MessageDeserializer.deserialize(MessageDeserializer.java:67)
... 5 more",{},48fb3d94-8322-4133-9967-1b209c8f66b1,Upstream system sending malformed JSON. Fixed producer schema validation.
